Station Name,Ticket Zone,x,y,Latitude,Longitude
Kingsbury,4,250,103,51.58481881,-0.278758866
Knightsbridge,1,319,310,51.50161953,-0.160476448
Ladbroke Grove,2,227,235,51.51725522,-0.210833786
Lambeth North,1,407,390,51.49913109,-0.111745717
Lancaster Gate,1,307,265,51.51189477,-0.175400817
Latimer Road,2,219,243,51.51360963,-0.217746133
Leicester Square,1,401,285,51.51129079,-0.12822255
Leyton,3,667,176,51.5565034,-0.00561874
Leytonstone,3,667,150,51.56825428,0.008223901
Liverpool Street,1,522,247,51.51742113,-0.082958757
London Bridge,1,487,334,51.50557208,-0.086907553
Loughton,6,667,36,51.64157062,0.055302636
Maida Vale,2,227,200,51.52982887,-0.185609035
Manor House,2,536,108,51.5708219,-0.095699338
Mansion House,1,464,312,51.5120941,-0.094171678
Marble Arch,1,319,265,51.51361041,-0.158415035
Marylebone,1,309,210,51.52229675,-0.163080891
Mile End,2,605,233,51.52516227,-0.033400538
Mill Hill East,4,426,51,51.60832233,-0.209873024
Monument,1,495,296,51.51063449,-0.08616071
Moor Park,6,110,53,51.62979011,-0.432617492
Moorgate,1,487,247,51.51843415,-0.088988842
Morden,4,297,530,51.40241312,-0.194767862
Mornington Crescent,2,411,185,51.53427845,-0.138821617
Neasden,3,261,126,51.5540311,-0.249760238
Newbury Park,4,718,116,51.57563951,0.090329654
North Acton,2,179,265,51.52343605,-0.25970031
North Ealing,3,121,252,51.51762475,-0.288970664
North Greenwich,2,647,330,51.50025394,0.00361738
North Harrow,5,149,93,51.58485344,-0.362187319
North Wembley,4,218,124,51.56254897,-0.304116057
Northfields,3,104,337,51.49934197,-0.314126947
Northolt,5,75,151,51.54821512,-0.368420431
Northwick Park,4,204,108.3,51.57865118,-0.318174443
Northwood,6,119,62,51.61121797,-0.423813419
Northwood Hills,6,127,70,51.60054928,-0.409262774
Notting Hill Gate,1,271,265,51.50913507,-0.196517879
Oakwood,5,536,37,51.64764325,-0.131828432
Old Street,1,487,224,51.52567304,-0.087540958
Osterley,4,84,356,51.48100148,-0.351955627
Oval,2,391,434,51.48217545,-0.112872504
Oxford Circus,1,362,265,51.51519833,-0.141753096
Paddington,1,258,210,51.51537887,-0.175365294
Park Royal,3,121,237,51.52696484,-0.284197489
Parsons Green,2,256,387,51.47517266,-0.201208748
Perivale,4,98,198,51.53665913,-0.323817282
